Image file,Average model score
4cell\4cell_HH01.png,0.7734683239459992
4cell\4cell_HH02.png,0.12516408413648605
4cell\4cell_HH03.png,0.7754796373844147
4cell\4cell_HH04.png,0.9968853914737701
4cell\4cell_HH05.png,0.0603741729259491
4cell\4cell_HH06.png,0.04203733664005995
4cell\4cell_HH07.png,0.7104276573657989
4cell\4cell_HH08.png,0.16429755732417106
4cell\4cell_HH09.png,0.7424200248718261
4cell\4cell_HH10.png,0.02914616882801056
4cell\4cell_HH11.png,0.9817060542106628
4cell\4cell_HH12.png,0.7689723134040832
