Video name,Yend,Ystart,Xend,Xstart
A50.avi,424,124,300,0
A51.avi,394,94,382,82
A52.avi,472,172,302,2
A61.avi,344,44,324,24
A63.avi,424,124,384,84
B241.avi,516,36,648,168
