Image file,Average model score
2cell\2cellHH09.png,0.682790230512619
2cell\2cell_HH01.png,0.8124412810802459
2cell\2cell_HH02.png,0.503556110560894
2cell\2cell_HH03.png,0.051658123284578326
2cell\2cell_HH04.png,0.268020693808794
2cell\2cell_HH05.png,0.8590737473964691
2cell\2cell_HH06.png,0.6620347428321839
2cell\2cell_HH07.png,0.8774313223361969
2cell\2cell_HH08.png,0.8909755635261536
2cell\2cell_HH10.png,0.7360954082012177
2cell\2cell_HH11.png,0.8390192019939423
2cell\2cell_HH12.png,0.6139646828174591
